epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,1637.69,3.27149,3.06137,2.1066,0.00302,1.32913,0.31941,0.29016,0.2143,0.06158,0.28638,0.26485,0.1923,0.05387,2.72973,nan,nan,0.00298,0,0.002278,0.002278,0.002278
80,1658.65,3.40463,3.48659,2.03384,0.00293,1.55635,0.30241,0.32448,0.22165,0.05973,0.25259,0.29987,0.18275,0.05176,2.73673,nan,nan,0.00297,0,0.002179,0.002179,0.002179
81,1681.85,3.38614,3.41896,1.84061,0.00265,1.49215,0.31931,0.30052,0.22153,0.06179,0.26939,0.27396,0.17441,0.04603,2.76176,nan,nan,0.00298,0,0.00208,0.00208,0.00208
82,1700.35,3.01996,3.23206,1.88262,0.00347,1.35771,0.30406,0.2513,0.18796,0.05495,0.24265,0.20771,0.14532,0.03534,2.75522,nan,nan,0.00294,0,0.001981,0.001981,0.001981
83,1721.46,3.13199,3.25097,2.21855,0.00304,1.21376,0.2908,0.22604,0.17651,0.05198,0.24067,0.20337,0.1443,0.04038,2.85607,nan,nan,0.00312,0,0.001882,0.001882,0.001882
84,1742.07,3.34289,3.5389,2.16418,0.0028,1.32788,0.27458,0.27526,0.19634,0.05469,0.22164,0.25453,0.14344,0.03863,2.75072,3.26394,2.09529,0.00299,0,0.001783,0.001783,0.001783
85,1763.29,3.04944,3.43105,1.91567,0.00307,1.45992,0.30036,0.31282,0.22085,0.06014,0.22605,0.29275,0.15769,0.04171,2.68484,3.18219,1.6843,0.00287,0,0.001684,0.001684,0.001684
86,1781.7,3.25215,3.46147,2.23331,0.00313,1.815,0.31552,0.349,0.23651,0.06378,0.24641,0.3058,0.18422,0.04972,2.66409,3.17766,1.61273,0.00281,0,0.001585,0.001585,0.001585
87,1801.49,3.12878,3.1966,1.85761,0.00263,1.19815,0.32788,0.35492,0.24891,0.0657,0.27026,0.33096,0.20813,0.05721,2.67191,3.04228,1.62099,0.00285,0,0.001486,0.001486,0.001486
88,1822.37,3.15765,3.37458,1.87916,0.00303,1.14317,0.30406,0.36205,0.24615,0.06697,0.26895,0.35145,0.21838,0.05705,2.6747,3.03419,1.63497,0.00292,0,0.001387,0.001387,0.001387
89,1842.98,2.9891,3.40944,2.38791,0.00317,1.44356,0.30483,0.34818,0.24017,0.06671,0.27053,0.33096,0.21338,0.05409,2.69506,3.03361,1.60374,0.00296,0,0.001288,0.001288,0.001288
90,1863.61,2.48298,2.64532,1.81928,0.00246,1.38759,0.29428,0.32513,0.22788,0.06341,0.27524,0.32124,0.20711,0.05662,2.70583,3.09707,1.73639,0.00297,0,0.001189,0.001189,0.001189
91,1885.9,2.94448,3.21665,2.39311,0.00278,0.79341,0.32655,0.26474,0.22002,0.06312,0.31039,0.25972,0.19872,0.05397,2.71488,3.07401,1.93236,0.003,0,0.00109,0.00109,0.00109
92,1905.77,3.30247,3.30363,2.87392,0.00272,1.01355,0.33422,0.27073,0.2203,0.0645,0.31263,0.25324,0.1963,0.05174,2.71818,3.01361,1.97179,0.00298,0,0.000991,0.000991,0.000991
93,1926.67,2.87267,2.71864,2.13268,0.0029,0.89629,0.32644,0.33225,0.23824,0.0676,0.29658,0.31801,0.22011,0.05759,2.68112,2.98346,1.74165,0.00292,0,0.000892,0.000892,0.000892
94,1947.6,3.16893,3.0308,2.56883,0.00324,0.9152,0.3145,0.33744,0.23787,0.06572,0.3183,0.36269,0.24732,0.0679,2.70865,2.98943,1.61716,0.00297,0,0.000793,0.000793,0.000793
95,1968.91,2.85736,2.97709,3.34061,0.00311,0.94642,0.32549,0.35751,0.24756,0.06685,0.32525,0.34521,0.24786,0.06958,2.70196,3.03972,1.59878,0.00295,0,0.000694,0.000694,0.000694
96,1987.85,2.945,3.48124,2.61364,0.00269,0.89547,0.33997,0.34003,0.25141,0.06941,0.33648,0.32254,0.24173,0.06788,2.69683,3.00266,1.68939,0.00293,0,0.000595,0.000595,0.000595
97,2009.59,3.05783,3.30922,1.94213,0.00292,0.87408,0.34441,0.33005,0.25321,0.06966,0.31874,0.29938,0.22334,0.06156,2.71499,3.03013,1.7105,0.00295,0,0.000496,0.000496,0.000496
98,2030.44,3.21266,3.43558,1.91018,0.00296,1.04869,0.34971,0.3281,0.25399,0.07135,0.30305,0.28433,0.20629,0.05574,2.72447,3.04738,1.74316,0.00295,0,0.000397,0.000397,0.000397
99,2050.45,2.0996,2.25044,1.60618,0.00207,0.69582,0.34627,0.33614,0.25386,0.07217,0.28848,0.28886,0.19865,0.054,2.71563,3.0522,1.72483,0.00293,0,0.000298,0.000298,0.000298
100,2071.91,1.92306,1.98428,1.44343,0.0022,0.98958,0.34566,0.34624,0.25595,0.07263,0.28926,0.29233,0.19796,0.05425,2.70815,3.07865,1.68481,0.00292,0,0.000199,0.000199,0.000199
