epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,1472.63,5.70028,5.84422,4.23422,0.00308,2.28134,0.49835,0.52953,0.45522,0.14007,0.41315,0.49158,0.36918,0.10425,4.59484,5.07593,3.37498,0.0032,0,7.15761e-05,7.15761e-05,7.15761e-05
56,1498.93,5.71213,6.32867,5.03913,0.00309,2.68079,0.49466,0.52937,0.45742,0.13973,0.4508,0.49229,0.39875,0.11636,4.6495,5.06254,3.26198,0.00324,0,7.06335e-05,7.06335e-05,7.06335e-05
57,1525.69,5.14454,6.34472,4.25188,0.00283,2.97175,0.49601,0.5285,0.46229,0.13844,0.43213,0.49676,0.39107,0.11388,4.64973,4.96492,3.23889,0.00324,0,6.9682e-05,6.9682e-05,6.9682e-05
58,1554.39,5.54047,6.21792,3.98382,0.00305,2.48654,0.49737,0.54411,0.45993,0.13689,0.41898,0.50712,0.37552,0.10469,4.65252,5.02578,3.22544,0.00324,0,6.87222e-05,6.87222e-05,6.87222e-05
59,1583.6,5.39754,6.52346,4.03321,0.00242,2.64618,0.47429,0.5253,0.44327,0.13298,0.41217,0.47021,0.35583,0.09807,4.64651,4.94295,3.31533,0.00325,0,6.77543e-05,6.77543e-05,6.77543e-05
60,1612.85,6.6639,6.94949,5.03366,0.0034,3.09231,0.47317,0.51878,0.43189,0.13173,0.40562,0.47604,0.35579,0.09616,4.63072,4.97342,3.24693,0.00327,0,6.67789e-05,6.67789e-05,6.67789e-05
61,1642.05,4.62518,4.78015,3.65317,0.00253,2.04253,0.51218,0.54468,0.46699,0.14024,0.41815,0.47345,0.35843,0.0982,4.60535,5.01477,3.27221,0.00321,0,6.57963e-05,6.57963e-05,6.57963e-05
62,1671.02,6.9229,7.68046,4.87915,0.00313,3.60639,0.50954,0.53963,0.45732,0.13903,0.41833,0.46632,0.35241,0.09695,4.65382,5.05822,3.17146,0.00323,0,6.48071e-05,6.48071e-05,6.48071e-05
63,1700.04,4.16427,4.78379,3.76815,0.00263,1.73992,0.5217,0.5376,0.46644,0.14398,0.42359,0.48251,0.36956,0.09876,4.61118,4.96358,3.29987,0.00319,0,6.38115e-05,6.38115e-05,6.38115e-05
64,1729.44,5.39418,5.86954,4.18955,0.00272,2.41818,0.52163,0.55087,0.47467,0.14452,0.42974,0.4949,0.37621,0.10158,4.61097,4.9511,3.21735,0.00319,0,6.28101e-05,6.28101e-05,6.28101e-05
