epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,1860.53,3.17017,3.77618,2.52981,0.00214,1.44413,0.51347,0.52461,0.46808,0.14176,0.42564,0.45725,0.35937,0.10704,3.47708,3.76306,2.115,0.00259,0,0.000638115,0.000638115,0.000638115
64,1890.69,4.17857,4.54122,2.73474,0.00225,2.01214,0.50185,0.56282,0.4799,0.14414,0.43493,0.5013,0.36596,0.10269,3.43455,3.71358,2.04932,0.00258,0,0.000628101,0.000628101,0.000628101
65,1918.98,4.07703,4.61132,2.61608,0.00253,1.92835,0.48569,0.5693,0.44572,0.12888,0.3747,0.46308,0.29038,0.07936,3.50821,3.77333,2.10908,0.00257,0,0.000618034,0.000618034,0.000618034
66,1948.51,4.45807,5.32091,2.7408,0.00231,1.86806,0.5192,0.58161,0.46665,0.13684,0.47988,0.53756,0.40421,0.11326,3.52755,3.7292,2.03736,0.00265,0,0.000607916,0.000607916,0.000607916
67,1978.29,4.43144,4.65135,2.65372,0.00263,1.93873,0.52862,0.56412,0.50112,0.1496,0.445,0.50907,0.38407,0.11519,3.40859,3.79018,2.09764,0.00248,0,0.000597754,0.000597754,0.000597754
68,2008.24,4.47268,5.03697,2.72833,0.00244,1.68398,0.54028,0.58549,0.5078,0.15076,0.45905,0.51813,0.39154,0.11064,3.38462,3.73616,2.11609,0.00248,0,0.000587551,0.000587551,0.000587551
69,2038.1,3.37845,3.88198,2.34601,0.00224,2.1111,0.55131,0.59446,0.51291,0.15456,0.46208,0.54145,0.40883,0.11665,3.40429,3.67487,2.03417,0.00251,0,0.000577311,0.000577311,0.000577311
70,2069.45,4.01231,4.25268,2.90635,0.00273,2.10742,0.53054,0.56736,0.49223,0.14366,0.43096,0.50194,0.37185,0.11272,3.47028,3.70396,2.04242,0.00255,0,0.00056704,0.00056704,0.00056704
71,2098.85,4.2989,4.59964,2.83587,0.00231,1.74624,0.53167,0.56282,0.50094,0.15671,0.46583,0.52137,0.41635,0.12421,3.38682,3.65334,1.9283,0.00253,0,0.000556742,0.000556742,0.000556742
72,2127.71,3.61981,3.90507,2.6392,0.00211,1.83709,0.54811,0.56023,0.5062,0.15908,0.51451,0.51036,0.45701,0.12355,3.42784,3.6503,1.90739,0.00261,0,0.000546421,0.000546421,0.000546421
