
--- INICIO MONITOREO VALIDACIÓN V16/V17 2026-03-11 08:02:20.640849 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
13:32:40 | 24.31 | 227.46 | 19.70
13:32:57 | 24.45 | 227.31 | 19.72
13:33:15 | 24.47 | 227.30 | 19.74
13:33:33 | 24.72 | 227.04 | 19.77
13:33:51 | 24.55 | 227.21 | 19.79
13:34:09 | 24.70 | 227.07 | 19.82
13:34:27 | 24.60 | 227.17 | 19.84
13:34:45 | 24.67 | 227.10 | 19.92
13:35:02 | 24.77 | 227.00 | 19.94
13:35:20 | 24.76 | 227.01 | 19.96
13:35:38 | 24.93 | 226.83 | 19.99
13:35:56 | 24.97 | 226.79 | 20.01
13:36:14 | 25.02 | 226.75 | 20.04
13:36:32 | 24.92 | 226.84 | 20.06
13:36:50 | 25.08 | 226.69 | 20.08
13:37:09 | 25.01 | 226.76 | 20.11
13:37:26 | 25.01 | 226.75 | 20.13
13:37:45 | 25.00 | 226.77 | 20.16
13:38:03 | 25.17 | 226.60 | 20.18
13:38:21 | 25.08 | 226.69 | 20.20
13:38:39 | 25.22 | 226.55 | 20.22
13:38:57 | 25.23 | 226.54 | 20.25
13:39:15 | 25.39 | 226.37 | 20.27
13:39:33 | 25.26 | 226.50 | 20.30
13:39:51 | 25.45 | 226.32 | 20.32
13:40:09 | 25.34 | 226.43 | 20.34
13:40:28 | 25.61 | 226.15 | 20.37
13:40:46 | 25.46 | 226.31 | 20.40
13:41:04 | 25.37 | 226.40 | 20.42
13:41:22 | 25.46 | 226.31 | 20.45
13:41:41 | 25.46 | 226.31 | 20.48
13:41:59 | 25.43 | 226.34 | 20.50
13:42:17 | 25.44 | 226.32 | 20.52
13:42:36 | 25.27 | 226.50 | 20.55
13:42:54 | 25.32 | 226.45 | 20.56
13:43:13 | 25.36 | 226.41 | 20.59
13:43:31 | 25.53 | 226.24 | 20.62
13:43:50 | 25.54 | 226.22 | 20.64
13:44:08 | 25.46 | 226.31 | 20.66
13:44:26 | 25.47 | 226.29 | 20.69
13:44:45 | 25.46 | 226.31 | 20.71
13:45:03 | 25.66 | 226.11 | 20.74
13:45:22 | 25.51 | 226.26 | 20.76
13:45:41 | 25.53 | 226.24 | 20.78
13:45:59 | 25.54 | 226.23 | 20.81
13:46:18 | 25.79 | 225.98 | 20.83
