
--- INICIO MONITOREO V27.3 MICRO 2026-05-14 09:25:40.329692 ---
09:41:57 | Sys:100.82G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3586 | 3, 74, 7370 | 4, 77, 7670 | 5, 65, 7714 | 6, 76, 7404 | 7, 72, 7238 |
09:42:13 | Sys:101.00G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3586 | 3, 73, 7370 | 4, 78, 7670 | 5, 66, 7714 | 6, 77, 7404 | 7, 73, 7238 |
09:42:28 | Sys:100.85G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3586 | 3, 73, 7370 | 4, 77, 7670 | 5, 66, 7714 | 6, 77, 7404 | 7, 72, 7238 |
09:42:44 | Sys:100.87G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 74, 3586 | 3, 74, 7370 | 4, 76, 7670 | 5, 67, 7714 | 6, 78, 7404 | 7, 73, 7238 |
09:42:59 | Sys:100.97G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 74, 3586 | 3, 74, 7370 | 4, 77, 7670 | 5, 67, 7714 | 6, 77, 7404 | 7, 73, 7238 |
09:43:14 | Sys:100.98G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3586 | 3, 73, 7370 | 4, 77, 7670 | 5, 65, 7714 | 6, 76, 7404 | 7, 72, 7342 |
09:43:30 | Sys:100.68G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 74, 3586 | 3, 73, 7370 | 4, 78, 7670 | 5, 66, 7714 | 6, 78, 7404 | 7, 74, 7342 |
09:43:45 | Sys:100.65G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 74, 3586 | 3, 73, 7370 | 4, 77, 7670 | 5, 66, 7714 | 6, 77, 7404 | 7, 73, 7342 |
09:44:01 | Sys:100.68G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3586 | 3, 73, 7370 | 4, 77, 7670 | 5, 66, 7714 | 6, 76, 7404 | 7, 73, 7342 |
09:44:16 | Sys:100.84G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 74, 3586 | 3, 73, 7370 | 4, 77, 7670 | 5, 66, 7714 | 6, 77, 7404 | 7, 73, 7342 |
09:44:32 | Sys:100.81G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3586 | 3, 75, 7370 | 4, 78, 7670 | 5, 66, 7714 | 6, 77, 7404 | 7, 72, 7342 |
09:44:47 | Sys:100.81G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3586 | 3, 73, 7370 | 4, 77, 7670 | 5, 66, 7714 | 6, 77, 7404 | 7, 73, 7342 |
09:45:03 | Sys:101.02G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 73, 3586 | 3, 72, 7370 | 4, 77, 7670 | 5, 66, 7714 | 6, 76, 7404 | 7, 73, 7342 |
09:45:18 | Sys:100.82G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3586 | 3, 73, 7370 | 4, 78, 7670 | 5, 66, 7714 | 6, 77, 7404 | 7, 74, 7342 |
09:45:34 | Sys:100.76G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 74, 3586 | 3, 73, 7370 | 4, 78, 7670 | 5, 67, 7714 | 6, 76, 7404 | 7, 73, 7342 |
09:45:49 | Sys:100.87G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 75, 3586 | 3, 73, 7370 | 4, 79, 7670 | 5, 68, 7714 | 6, 78, 7404 | 7, 74, 7342 |
09:46:04 | Sys:100.71G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 74, 3586 | 3, 74, 7370 | 4, 77, 7670 | 5, 66, 7714 | 6, 78, 7404 | 7, 74, 7342 |
09:46:20 | Sys:100.77G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3586 | 3, 72, 7370 | 4, 77, 7670 | 5, 65, 7714 | 6, 76, 7404 | 7, 73, 7342 |
