
--- INICIO PIPELINE MOSCAS 2026-03-30 17:42:26.066087 ---
21:36:29 | RAM: 54.9GB | Proc: 1.0GB
21:36:40 | RAM: 54.8GB | Proc: 1.0GB
21:36:51 | RAM: 54.8GB | Proc: 1.0GB
21:37:01 | RAM: 54.9GB | Proc: 1.0GB
21:37:12 | RAM: 54.9GB | Proc: 1.0GB
21:37:23 | RAM: 54.8GB | Proc: 1.0GB
21:37:34 | RAM: 54.9GB | Proc: 1.0GB
21:37:44 | RAM: 54.8GB | Proc: 1.0GB
21:37:55 | RAM: 54.9GB | Proc: 1.0GB
21:38:06 | RAM: 55.0GB | Proc: 1.0GB
21:38:17 | RAM: 54.8GB | Proc: 1.0GB
21:38:27 | RAM: 54.9GB | Proc: 1.0GB
21:38:38 | RAM: 54.9GB | Proc: 1.0GB
21:38:48 | RAM: 54.9GB | Proc: 1.0GB
21:38:59 | RAM: 54.8GB | Proc: 1.0GB
21:39:10 | RAM: 54.7GB | Proc: 1.0GB
21:39:20 | RAM: 54.8GB | Proc: 1.0GB
21:39:31 | RAM: 54.9GB | Proc: 1.0GB
21:39:42 | RAM: 55.0GB | Proc: 1.0GB
21:39:52 | RAM: 54.9GB | Proc: 1.0GB
21:40:03 | RAM: 55.1GB | Proc: 1.0GB
21:40:13 | RAM: 54.9GB | Proc: 1.0GB
21:40:24 | RAM: 54.9GB | Proc: 1.0GB
21:40:34 | RAM: 55.0GB | Proc: 1.0GB
21:40:45 | RAM: 55.0GB | Proc: 1.0GB
21:40:55 | RAM: 54.9GB | Proc: 1.0GB
21:41:06 | RAM: 54.8GB | Proc: 1.0GB
21:41:17 | RAM: 54.9GB | Proc: 1.0GB
21:41:27 | RAM: 54.9GB | Proc: 1.0GB
21:41:38 | RAM: 55.0GB | Proc: 1.0GB
21:41:49 | RAM: 55.0GB | Proc: 1.0GB
21:42:00 | RAM: 55.1GB | Proc: 1.0GB
21:42:10 | RAM: 54.9GB | Proc: 1.0GB
21:42:21 | RAM: 55.0GB | Proc: 1.0GB
21:42:32 | RAM: 54.9GB | Proc: 1.0GB
21:42:42 | RAM: 55.0GB | Proc: 1.0GB
21:42:53 | RAM: 55.1GB | Proc: 1.0GB
21:43:03 | RAM: 55.0GB | Proc: 1.0GB
21:43:14 | RAM: 55.1GB | Proc: 1.0GB
21:43:25 | RAM: 54.1GB | Proc: 1.0GB
21:43:35 | RAM: 54.5GB | Proc: 1.0GB
21:43:46 | RAM: 54.8GB | Proc: 1.0GB

--- INICIO PIPELINE MOSCAS 2026-03-30 21:43:55.897249 ---
21:43:56 | RAM: 54.9GB | Proc: 0.4GB
21:43:56 | RAM: 55.0GB | Proc: 1.0GB
21:44:07 | RAM: 55.3GB | Proc: 1.0GB
21:44:07 | RAM: 55.3GB | Proc: 0.7GB
21:44:17 | RAM: 55.6GB | Proc: 1.0GB
21:44:18 | RAM: 55.4GB | Proc: 0.9GB
21:44:27 | RAM: 55.5GB | Proc: 1.0GB
21:44:29 | RAM: 55.3GB | Proc: 1.0GB
21:44:38 | RAM: 55.4GB | Proc: 1.0GB
21:44:40 | RAM: 55.4GB | Proc: 1.0GB
21:44:49 | RAM: 55.7GB | Proc: 1.0GB
21:44:51 | RAM: 55.6GB | Proc: 1.0GB
21:45:00 | RAM: 55.6GB | Proc: 1.0GB
21:45:02 | RAM: 55.6GB | Proc: 1.0GB
21:45:11 | RAM: 55.5GB | Proc: 1.0GB
21:45:12 | RAM: 55.5GB | Proc: 1.0GB
21:45:22 | RAM: 55.5GB | Proc: 1.0GB
21:45:23 | RAM: 55.6GB | Proc: 1.0GB
21:45:32 | RAM: 55.5GB | Proc: 1.0GB
21:45:34 | RAM: 55.6GB | Proc: 1.0GB
21:45:43 | RAM: 55.5GB | Proc: 1.0GB
21:45:44 | RAM: 55.5GB | Proc: 1.0GB
21:45:53 | RAM: 55.4GB | Proc: 1.0GB
21:45:55 | RAM: 55.5GB | Proc: 1.0GB
21:46:04 | RAM: 55.4GB | Proc: 1.0GB
21:46:06 | RAM: 55.6GB | Proc: 1.0GB
21:46:15 | RAM: 55.6GB | Proc: 1.0GB
21:46:17 | RAM: 55.6GB | Proc: 1.0GB
21:46:25 | RAM: 55.7GB | Proc: 1.0GB
21:46:28 | RAM: 55.6GB | Proc: 1.0GB
21:46:36 | RAM: 55.4GB | Proc: 1.0GB
21:46:39 | RAM: 55.4GB | Proc: 1.0GB
21:46:46 | RAM: 55.8GB | Proc: 1.0GB
21:46:49 | RAM: 55.7GB | Proc: 1.0GB
21:46:57 | RAM: 55.5GB | Proc: 1.0GB
21:47:00 | RAM: 55.5GB | Proc: 1.0GB
21:47:08 | RAM: 55.4GB | Proc: 1.0GB
21:47:10 | RAM: 55.4GB | Proc: 1.0GB
21:47:19 | RAM: 55.3GB | Proc: 1.0GB
21:47:21 | RAM: 55.4GB | Proc: 1.0GB
21:47:30 | RAM: 55.5GB | Proc: 1.0GB
21:47:32 | RAM: 55.6GB | Proc: 1.0GB
21:47:41 | RAM: 55.5GB | Proc: 1.0GB
21:47:43 | RAM: 55.6GB | Proc: 1.0GB
21:47:51 | RAM: 55.7GB | Proc: 1.0GB
21:47:54 | RAM: 55.7GB | Proc: 1.0GB
21:48:02 | RAM: 55.6GB | Proc: 1.0GB
21:48:04 | RAM: 55.9GB | Proc: 1.0GB
21:48:13 | RAM: 55.7GB | Proc: 1.0GB
21:48:15 | RAM: 55.7GB | Proc: 1.0GB
21:48:23 | RAM: 55.6GB | Proc: 1.0GB
21:48:25 | RAM: 55.6GB | Proc: 1.0GB
21:48:34 | RAM: 55.5GB | Proc: 1.0GB
21:48:36 | RAM: 55.6GB | Proc: 1.0GB
21:48:45 | RAM: 55.5GB | Proc: 1.0GB
21:48:47 | RAM: 55.5GB | Proc: 1.0GB
21:48:56 | RAM: 55.6GB | Proc: 1.0GB
21:48:58 | RAM: 55.6GB | Proc: 1.0GB
21:49:07 | RAM: 55.6GB | Proc: 1.0GB
21:49:08 | RAM: 55.4GB | Proc: 1.0GB
21:49:17 | RAM: 55.7GB | Proc: 1.0GB
21:49:19 | RAM: 55.7GB | Proc: 1.0GB
21:49:28 | RAM: 55.9GB | Proc: 1.0GB
21:49:30 | RAM: 55.7GB | Proc: 1.0GB
21:49:39 | RAM: 55.7GB | Proc: 1.0GB
21:49:40 | RAM: 55.7GB | Proc: 1.0GB
21:49:49 | RAM: 55.6GB | Proc: 1.0GB
21:49:51 | RAM: 55.7GB | Proc: 1.0GB
21:50:00 | RAM: 55.8GB | Proc: 1.0GB
21:50:02 | RAM: 55.7GB | Proc: 1.0GB
21:50:11 | RAM: 55.6GB | Proc: 1.0GB
21:50:12 | RAM: 55.7GB | Proc: 1.0GB
21:50:22 | RAM: 55.6GB | Proc: 1.0GB
21:50:23 | RAM: 55.6GB | Proc: 1.0GB
21:50:33 | RAM: 55.8GB | Proc: 1.0GB
21:50:33 | RAM: 55.8GB | Proc: 1.0GB
21:50:43 | RAM: 55.7GB | Proc: 1.0GB
21:50:44 | RAM: 55.7GB | Proc: 1.0GB
21:50:54 | RAM: 55.7GB | Proc: 1.0GB
21:50:54 | RAM: 55.7GB | Proc: 1.0GB
21:51:05 | RAM: 55.8GB | Proc: 1.0GB
21:51:05 | RAM: 55.8GB | Proc: 1.0GB
21:51:15 | RAM: 55.7GB | Proc: 1.0GB
21:51:16 | RAM: 55.8GB | Proc: 1.0GB
21:51:26 | RAM: 55.7GB | Proc: 1.0GB
21:51:27 | RAM: 55.7GB | Proc: 1.0GB
21:51:36 | RAM: 55.8GB | Proc: 1.0GB
21:51:38 | RAM: 55.9GB | Proc: 1.0GB
21:51:47 | RAM: 55.7GB | Proc: 1.0GB
21:51:48 | RAM: 55.8GB | Proc: 1.0GB
21:51:58 | RAM: 55.8GB | Proc: 1.0GB
21:51:59 | RAM: 55.8GB | Proc: 1.0GB
21:52:09 | RAM: 55.6GB | Proc: 1.0GB
21:52:10 | RAM: 55.7GB | Proc: 1.0GB
21:52:19 | RAM: 55.7GB | Proc: 1.0GB
21:52:20 | RAM: 55.7GB | Proc: 1.0GB
21:52:30 | RAM: 55.9GB | Proc: 1.0GB
21:52:31 | RAM: 55.7GB | Proc: 1.0GB
21:52:41 | RAM: 55.7GB | Proc: 1.0GB
21:52:42 | RAM: 55.6GB | Proc: 1.0GB
21:52:52 | RAM: 55.7GB | Proc: 1.0GB
21:52:53 | RAM: 55.6GB | Proc: 1.0GB
21:53:03 | RAM: 55.9GB | Proc: 1.0GB
21:53:04 | RAM: 55.7GB | Proc: 1.0GB
21:53:13 | RAM: 55.7GB | Proc: 1.0GB
21:53:14 | RAM: 55.7GB | Proc: 1.0GB
21:53:24 | RAM: 55.7GB | Proc: 1.0GB
21:53:25 | RAM: 55.7GB | Proc: 1.0GB
21:53:35 | RAM: 55.8GB | Proc: 1.0GB
21:53:36 | RAM: 55.8GB | Proc: 1.0GB
21:53:45 | RAM: 55.7GB | Proc: 1.0GB
21:53:46 | RAM: 55.7GB | Proc: 1.0GB
21:53:56 | RAM: 55.7GB | Proc: 1.0GB
21:53:57 | RAM: 55.7GB | Proc: 1.0GB
21:54:06 | RAM: 55.7GB | Proc: 1.0GB
21:54:08 | RAM: 55.8GB | Proc: 1.0GB
21:54:17 | RAM: 55.7GB | Proc: 1.0GB
21:54:19 | RAM: 55.7GB | Proc: 1.0GB
21:54:28 | RAM: 55.7GB | Proc: 1.0GB
