
--- INICIO MONITOREO V17 MEDIUM 2026-03-05 19:46:06.884493 ---
Timestamp | Sys_Used(GB) | Free(GB) | Proc_RAM(GB) | GPU_Stats
08:41:30 | 186.37 | 65.40 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 80, 5784 | 4, 83, 5722 | 5, 70, 5876 | 6, 83, 5886 | 7, 77, 5846 |
08:41:45 | 186.62 | 65.15 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 82, 5784 | 4, 85, 5722 | 5, 73, 5876 | 6, 84, 5886 | 7, 79, 5846 |
08:42:01 | 186.71 | 65.05 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 80, 5784 | 4, 83, 5722 | 5, 71, 5876 | 6, 83, 5886 | 7, 77, 5846 |
08:42:16 | 186.63 | 65.14 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 82, 5784 | 4, 83, 5722 | 5, 73, 5876 | 6, 83, 5886 | 7, 79, 5846 |
08:42:31 | 186.56 | 65.21 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 81, 5784 | 4, 84, 5722 | 5, 72, 5876 | 6, 83, 5886 | 7, 78, 5846 |
08:42:46 | 186.60 | 65.16 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 82, 5784 | 4, 84, 5722 | 5, 72, 5876 | 6, 84, 5886 | 7, 79, 5846 |
08:43:02 | 186.62 | 65.15 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 31, 8 | 3, 82, 5784 | 4, 83, 5722 | 5, 72, 5876 | 6, 83, 5886 | 7, 79, 5846 |
08:43:17 | 186.66 | 65.11 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 82, 5784 | 4, 84, 5722 | 5, 73, 5876 | 6, 84, 5886 | 7, 79, 5846 |
08:43:32 | 186.51 | 65.26 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 83, 5784 | 4, 85, 5722 | 5, 73, 5876 | 6, 84, 5886 | 7, 79, 5846 |
08:43:48 | 186.58 | 65.18 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 82, 5784 | 4, 83, 5722 | 5, 73, 5876 | 6, 84, 5886 | 7, 79, 5846 |
08:44:03 | 186.75 | 65.01 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 83, 5784 | 4, 85, 5722 | 5, 73, 5876 | 6, 85, 5886 | 7, 80, 5846 |
08:44:18 | 186.83 | 64.93 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 82, 6282 | 4, 83, 5722 | 5, 72, 5876 | 6, 83, 5886 | 7, 78, 5846 |
08:44:34 | 186.49 | 65.28 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 82, 6282 | 4, 83, 5722 | 5, 72, 5876 | 6, 82, 5886 | 7, 78, 5846 |
08:44:49 | 186.56 | 65.21 | 0.69 | 0, 25, 8 | 1, 27, 8 | 2, 30, 8 | 3, 83, 6282 | 4, 85, 5722 | 5, 73, 5876 | 6, 84, 5886 | 7, 80, 5846 |
