epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,279981,4.52726,9.64029,1.24745,0.00341,3.14623,0.65823,0.4177,0.47526,0.32977,0.45672,0.25968,0.25463,0.14198,3.79828,9.91972,1.13516,0.00316,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,284134,4.52033,9.62299,1.24413,0.00339,3.13436,0.65868,0.41749,0.47541,0.32999,0.4594,0.25896,0.25485,0.14209,3.79684,9.91195,1.13419,0.00316,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,288292,4.52196,9.60868,1.24444,0.0034,3.16192,0.65987,0.41758,0.47581,0.33034,0.45959,0.25904,0.25497,0.14217,3.79599,9.90636,1.13326,0.00316,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,292443,4.5003,9.60589,1.24096,0.00339,3.14175,0.65836,0.41862,0.47614,0.33055,0.46093,0.25867,0.25551,0.14224,3.79283,9.89872,1.13267,0.00315,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,296635,4.49609,9.57823,1.23862,0.00336,3.13188,0.66065,0.41884,0.47663,0.33096,0.46166,0.2591,0.25537,0.14232,3.79118,9.88992,1.1317,0.00315,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,300838,4.47867,9.56398,1.23379,0.00334,3.07485,0.66231,0.41901,0.477,0.33113,0.45949,0.25954,0.25561,0.14229,3.78948,9.88402,1.13076,0.00314,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,305039,4.47751,9.55011,1.2339,0.00334,3.10293,0.66115,0.4193,0.47717,0.33152,0.46346,0.25895,0.25595,0.1423,3.78725,9.87136,1.13031,0.00314,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,309216,4.48414,9.56941,1.237,0.00335,3.15399,0.66235,0.41919,0.47737,0.33184,0.46425,0.25922,0.25618,0.14243,3.78532,9.86026,1.12884,0.00313,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,313391,4.4635,9.52887,1.23152,0.00333,3.09482,0.66297,0.4193,0.47774,0.33221,0.46529,0.25939,0.25626,0.14261,3.78305,9.85789,1.12829,0.00313,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,317562,4.45161,9.53453,1.22727,0.00331,3.07372,0.65919,0.42116,0.47815,0.33251,0.46501,0.25971,0.25634,0.1428,3.78143,9.85718,1.12751,0.00313,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,321733,4.45974,9.52619,1.22859,0.00332,3.11398,0.66043,0.42122,0.47837,0.3327,0.4651,0.2596,0.25655,0.14286,3.78052,9.85824,1.12685,0.00313,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,325905,4.45363,9.51168,1.22617,0.0033,3.0667,0.6637,0.42064,0.47872,0.33302,0.4641,0.26023,0.25617,0.14274,3.77837,9.85042,1.12612,0.00313,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,330092,4.45022,9.51643,1.22437,0.00331,3.06257,0.66511,0.42117,0.4792,0.33347,0.46363,0.26045,0.25657,0.14326,3.7754,9.84336,1.12452,0.00312,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,334286,4.43575,9.5015,1.22295,0.0033,3.07623,0.66398,0.42177,0.47974,0.33402,0.46127,0.26049,0.25647,0.14343,3.77499,9.84054,1.12349,0.00312,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,338467,4.43359,9.4999,1.22126,0.00328,3.03175,0.66106,0.423,0.4798,0.33438,0.45767,0.26147,0.25648,0.14326,3.77319,9.84514,1.12284,0.00311,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,342645,4.41597,9.45495,1.21761,0.00326,3.02985,0.66025,0.42315,0.48003,0.33461,0.46004,0.261,0.2562,0.14316,3.77104,9.84056,1.12197,0.00311,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
