epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,158587,0.99753,2.68181,0.82133,0.96742,0,0.6003,0.38963,0.42621,0.27072,0.00155,0.00376,0.00055,0.00015,0.92947,8.74162,0.79653,0.93024,0,0.005644,0.005644,0.005644
46,162093,0.99926,2.69166,0.82229,0.96656,0,0.6013,0.38976,0.42668,0.2711,0.00148,0.0041,0.00055,0.00015,0.92925,8.781,0.7959,0.92999,0,0.005545,0.005545,0.005545
47,165604,0.99614,2.67876,0.82129,0.96697,0,0.60119,0.38975,0.42686,0.27129,0.00156,0.00372,0.00056,0.00015,0.92848,8.79656,0.79547,0.92962,0,0.005446,0.005446,0.005446
48,169118,0.99146,2.67679,0.81718,0.96545,0,0.60002,0.3908,0.42726,0.27152,0.00156,0.00368,0.00055,0.00015,0.92802,8.82221,0.79459,0.92949,0,0.005347,0.005347,0.005347
49,172661,0.99377,2.67745,0.82018,0.96615,0,0.60122,0.39031,0.42766,0.27174,0.00154,0.00376,0.00055,0.00015,0.92748,8.84871,0.79439,0.92928,0,0.005248,0.005248,0.005248
50,176181,0.99614,2.6875,0.82062,0.96604,0,0.60251,0.39012,0.42808,0.27179,0.0016,0.00368,0.00056,0.00015,0.92713,8.87315,0.79399,0.92906,0,0.005149,0.005149,0.005149
51,179672,0.99366,2.6762,0.81777,0.96553,0,0.60103,0.39102,0.42844,0.27203,0.00173,0.00318,0.00057,0.00016,0.92642,8.89277,0.79315,0.92871,0,0.00505,0.00505,0.00505
52,183210,0.99218,2.67495,0.81623,0.96424,0,0.60207,0.3909,0.42875,0.27232,0.0017,0.00336,0.00057,0.00016,0.92581,8.90665,0.79284,0.92843,0,0.004951,0.004951,0.004951
53,186706,0.99128,2.6756,0.8159,0.96454,0,0.60188,0.3909,0.42889,0.2726,0.00173,0.0032,0.00057,0.00016,0.92516,8.91134,0.79241,0.92828,0,0.004852,0.004852,0.004852
54,190178,0.98999,2.67679,0.81543,0.96492,0,0.60317,0.39095,0.42907,0.27282,0.00174,0.00327,0.00058,0.00016,0.92475,8.92263,0.79197,0.92803,0,0.004753,0.004753,0.004753
55,193657,0.98944,2.67401,0.81587,0.96464,0,0.60038,0.38914,0.42713,0.27182,0.00196,0.00339,0.00066,0.00018,0.92808,8.46287,0.79539,0.92863,0,0.004654,0.004654,0.004654
56,197136,0.98698,2.67164,0.8132,0.96406,0,0.59955,0.38937,0.4273,0.27188,0.00189,0.00382,0.00065,0.00018,0.92793,8.48171,0.79496,0.92849,0,0.004555,0.004555,0.004555
57,200630,0.98795,2.67105,0.81494,0.96474,0,0.59966,0.38909,0.42692,0.27159,0.00194,0.00381,0.00066,0.00018,0.9299,8.41253,0.79654,0.92903,0,0.004456,0.004456,0.004456
58,204106,0.98622,2.66376,0.8129,0.96434,0,0.60168,0.38878,0.42696,0.27167,0.00197,0.00386,0.00067,0.00018,0.92927,8.43048,0.79627,0.92892,0,0.004357,0.004357,0.004357
59,207616,0.98514,2.66483,0.81048,0.96213,0,0.59899,0.38979,0.42661,0.2715,0.00194,0.00423,0.00068,0.00019,0.92987,8.25369,0.79801,0.92935,0,0.004258,0.004258,0.004258
60,211106,0.98466,2.66098,0.81009,0.96236,0,0.59846,0.38968,0.42654,0.27156,0.00197,0.00385,0.00067,0.00018,0.92954,8.27545,0.79763,0.9294,0,0.004159,0.004159,0.004159
61,214643,0.98366,2.65671,0.80855,0.96137,0,0.59978,0.3888,0.42652,0.27165,0.00197,0.00398,0.00068,0.00018,0.92941,8.30484,0.79782,0.92923,0,0.00406,0.00406,0.00406
62,218174,0.98154,2.65647,0.80813,0.96261,0,0.59901,0.38922,0.42651,0.27174,0.00192,0.00401,0.00067,0.00018,0.92899,8.32214,0.79729,0.92906,0,0.003961,0.003961,0.003961
63,221674,0.98362,2.6605,0.80979,0.96216,0,0.59797,0.39025,0.42668,0.2719,0.00193,0.00384,0.00066,0.00018,0.92836,8.34825,0.79689,0.92908,0,0.003862,0.003862,0.003862
64,225200,0.98076,2.65613,0.80805,0.96101,0,0.59863,0.38981,0.42695,0.27214,0.00194,0.0041,0.00067,0.00018,0.92836,8.35404,0.79677,0.92895,0,0.003763,0.003763,0.003763
